review_id,platform,country,date,star_rating,title,text,user_name,app_version,is_crypto
13964957796,app_store,gb,2026-04-16T12:41:23-07:00,5,Best App,My favorite App,sher bachahi aghan,10.125,False
13964932977,app_store,gb,2026-04-16T12:31:50-07:00,5,Less charges,Sending money abroad is very fast and has fewer charges.,Jeff babasa,10.125,False
13964930438,app_store,gb,2026-04-16T12:30:53-07:00,5,Mr,By far easiest bank to use out,Cfrew2,10.125,False
13964839144,app_store,gb,2026-04-16T11:56:24-07:00,5,Everyday go,Everyday using it,Tsetso92,10.125,False
13964826474,app_store,gb,2026-04-16T11:51:38-07:00,5,The best bank,The best band ever,Mohammed Qadiri,10.125,False
13964801700,app_store,gb,2026-04-16T11:42:27-07:00,1,Rip off fees,They kept pushing their Commodities Services with ridiculous fees and now when people paid to have positions in Gold / Silver out of the blue they’re closing it🤬 🤮,Sulevus,10.125,False
13964798395,app_store,gb,2026-04-16T11:41:15-07:00,5,KAA,Excellent transactions far better than Bank,Essexrules,10.125,False
13964785018,app_store,gb,2026-04-16T11:36:17-07:00,5,Flexibility and ease,"Revolt has been so eat to use and flex the plans I use. 

The app is easy and anytime I have needed help it has been there.",Catman57,10.125,False
13964782612,app_store,gb,2026-04-16T11:35:23-07:00,5,Brill.,"You can’t go wrong with this card, especially if you travel a lot like I do. Getting the proper exchange rates for currencies is a big bonus",omgouttathisworld,10.125,True
13964775271,app_store,gb,2026-04-16T11:32:39-07:00,5,The best internet banking services,I like it so much being a client for over 5 years. No issues at all with it. Top quality. Ty,ChptVooDoo,10.125,False
13964756480,app_store,gb,2026-04-16T11:25:39-07:00,5,Best banking app to date,"I just want to take the time out just to say thankyou so much to you guys at rev I have spent nearly 4 years without having a bank it made me really depressed an made me feel stuck in life however last month I just thought I would try and thankfully opened an account within minutes! My new year is going to start off amazingly and life going forward is looking up Thankyou guys again! Best banking app ever!   

UPDATE: I love this app the best bank ever! Simple as",Meimjustbeinghonest,10.125,False
13964751614,app_store,gb,2026-04-16T11:23:47-07:00,5,Great,Works brilliant,Blue xxxxxx,10.125,False
13964746903,app_store,gb,2026-04-16T11:21:59-07:00,5,Great bank,Easy to navigate around. Best app!!,Appletree87,10.125,False
13964744318,app_store,gb,2026-04-16T11:21:00-07:00,5,Easy straightforward,Does everything I need in one place. Very happy so far,killerwhiskey,10.125,False
13964732151,app_store,gb,2026-04-16T11:16:21-07:00,5,Good service,Never disappoints,Kinghorla,10.125,False
13964726930,app_store,gb,2026-04-16T11:14:22-07:00,5,Elite Application,"Amazing app with so many options and access to Market, crypto. Easy transferring setting up of the accounts ❤️🤍🥳",Sushinronek,10.125,True
13964672828,app_store,gb,2026-04-16T10:54:03-07:00,5,Amazing bank,I have had the best experience in these,Alekiufyyry,10.125,False
13964647971,app_store,gb,2026-04-16T10:44:48-07:00,5,Excellent,Awesome banking,Davido40,10.125,False
13964638702,app_store,gb,2026-04-16T10:41:25-07:00,5,L,Lexi,lexiamara0899,10.124,False
13964620731,app_store,gb,2026-04-16T10:34:41-07:00,5,Perfect bank app,Very easy to use and useful,H NB dk gf,10.125,False
13964618212,app_store,gb,2026-04-16T10:33:46-07:00,5,Jesteście super,Super,Łożyniak,10.125,False
13964580684,app_store,gb,2026-04-16T10:19:57-07:00,5,Review,"Very easy to use, lots of benefits and always reliable for me. Metal card is very worth it in my opinion.",Ramsay ac,10.125,False
13964558898,app_store,gb,2026-04-16T10:12:04-07:00,5,Fab,Highly recommend this,@edumelo2009,10.125,False
13964553220,app_store,gb,2026-04-16T10:10:03-07:00,5,Simple & easy to use,"I love this bank, the rev points are incredible. You get rewarded Everytime you use your card and can spend on everyday items. Really easy to use app aswell",Flashes86,10.125,False
13964547594,app_store,gb,2026-04-16T10:08:03-07:00,5,Good service,Very fast processing,Auto docom,10.125,False
13964533969,app_store,gb,2026-04-16T10:03:05-07:00,5,Alex Akinyemi,One of the best banking app ever,Adexmayor1,10.125,False
13964502512,app_store,gb,2026-04-16T09:51:51-07:00,5,superb,great for the kids and savings,z000000000000009,10.125,False
13964490708,app_store,gb,2026-04-16T09:47:38-07:00,5,Mr,Oday,Xiirayo,10.125,False
13964488221,app_store,gb,2026-04-16T09:46:45-07:00,5,The Best Way to Manage my Money,Great way to exchange currencies transfer to my foreign bank account at the best rates  and great interest on savings mad not to,AlicanteT,10.125,True
13964471280,app_store,gb,2026-04-16T09:40:46-07:00,4,Review,"Revolut is one of the best online banking experiences I’ve had, it’s simple to understand and money transfers and quick and easy, and the point reward system incentivises saving money, definitely a bank I’m staying with",Gossypoo,10.125,True
13964466001,app_store,gb,2026-04-16T09:38:52-07:00,5,Sir,Very good online app,Mr garnet,10.124,False
13964442701,app_store,gb,2026-04-16T09:30:45-07:00,5,Like it,It works for me very handy all over Europe very impressed,jonvandriver,10.125,False
13964436900,app_store,gb,2026-04-16T09:28:46-07:00,5,Excellent,So easy to use and all functions are excellent,Ed66uk,10.125,False
13964431613,app_store,gb,2026-04-16T09:26:55-07:00,5,Mr,Fantastic,Ltaylorcb20,10.125,False
13964403722,app_store,gb,2026-04-16T09:17:08-07:00,5,Perfect for travel and home,Thoroughly enjoying my Revolut account. Earning air miles as I spend and enjoying upgrades and air lounge access. Easy to use and no currency charges when abroad,foxcub007,10.125,False
13964382548,app_store,gb,2026-04-16T09:09:42-07:00,5,Good,Really easy to work,Jayden12386,10.125,False
13964375884,app_store,gb,2026-04-16T09:07:24-07:00,5,Good,Good,Fee lovett,10.125,False
13964371763,app_store,gb,2026-04-16T09:06:00-07:00,5,Brandan,"Perfect bank, easiest to use out of all banks and it’s more secure as it’s not run by big bank companies",Seprah,10.125,False
13964287435,app_store,gb,2026-04-16T08:37:16-07:00,5,Seamless perfection,Everything runs smoothly and you can easily make your way through any situation,Bigdodds,10.125,False
13964270636,app_store,gb,2026-04-16T08:31:33-07:00,4,Best banking app,"Excellent banking app, fast, user friendly and very quick on money transfers.",Nikorthhes,10.125,False
13964248284,app_store,gb,2026-04-16T08:24:05-07:00,5,R,Prefect !,Rizzyrev,10.125,False
13964236899,app_store,gb,2026-04-16T08:20:20-07:00,5,Great Bank,"Quick and no fuss, app easy to use",NanaOfPaige,10.125,False
13964211303,app_store,gb,2026-04-16T08:11:47-07:00,5,Great,Love Revolut,Bleaubo,10.125,False
13964068778,app_store,gb,2026-04-16T07:25:11-07:00,5,Great,Next level amazing,Smxlad,10.125,False
13964028536,app_store,gb,2026-04-16T07:12:07-07:00,5,The best bank ever,"I just like to use it, simple, perfect and performance wise.",otiliam,10.125,False
13963981380,app_store,gb,2026-04-16T06:56:48-07:00,5,Δημήτρης,Διευκολύνει πολύ με το συνάλλαγμα αλλά και αλλαγές και συναλλαγές μεταξύ χωρών ΕΕ - Εκτός,GF206,10.125,False
13963971247,app_store,gb,2026-04-16T06:53:29-07:00,5,Uche A,I love this app,Ucheyyy112,10.125,False
13963890547,app_store,gb,2026-04-16T06:27:00-07:00,5,Good,Much better than trading212,Teddphil,10.125,True
13963890490,app_store,gb,2026-04-16T06:27:00-07:00,5,Fantastic,Quick efficient and brilliant staff,Hell boy,10.125,False
13963835302,app_store,gb,2026-04-16T06:08:49-07:00,1,dont buy the crypto by revolut,very hi fee,Ashkan Nademi,10.125,True
