review_id,platform,country,date,star_rating,title,text,user_name,app_version,is_crypto
13964782612,app_store,gb,2026-04-16T11:35:23-07:00,5,Brill.,"You can’t go wrong with this card, especially if you travel a lot like I do. Getting the proper exchange rates for currencies is a big bonus",omgouttathisworld,10.125,True
13964726930,app_store,gb,2026-04-16T11:14:22-07:00,5,Elite Application,"Amazing app with so many options and access to Market, crypto. Easy transferring setting up of the accounts ❤️🤍🥳",Sushinronek,10.125,True
13964488221,app_store,gb,2026-04-16T09:46:45-07:00,5,The Best Way to Manage my Money,Great way to exchange currencies transfer to my foreign bank account at the best rates  and great interest on savings mad not to,AlicanteT,10.125,True
13964471280,app_store,gb,2026-04-16T09:40:46-07:00,4,Review,"Revolut is one of the best online banking experiences I’ve had, it’s simple to understand and money transfers and quick and easy, and the point reward system incentivises saving money, definitely a bank I’m staying with",Gossypoo,10.125,True
13963890547,app_store,gb,2026-04-16T06:27:00-07:00,5,Good,Much better than trading212,Teddphil,10.125,True
13963835302,app_store,gb,2026-04-16T06:08:49-07:00,1,dont buy the crypto by revolut,very hi fee,Ashkan Nademi,10.125,True
13963815708,app_store,gb,2026-04-16T06:02:20-07:00,5,Mr,Great exchange in any country,munghani,10.125,True
13963787063,app_store,gb,2026-04-16T05:52:33-07:00,5,It’s amazing,Just get it. Saves an abs fortune on exchange rates and is fun to just tap with its contactless shopping,Big Cathal,10.125,True
13963340673,app_store,gb,2026-04-16T02:59:30-07:00,5,Very happy,"Great service from my Revolut account, super quick transfer from U.K. accounts to Euro account, definitely recommend",pjackso4,10.125,True
13963290550,app_store,gb,2026-04-16T02:35:23-07:00,5,Good bank,Good banking app with crypto features and fast transactions,Regginhanger,10.125,True
13963276339,app_store,gb,2026-04-16T02:28:16-07:00,5,Travel expenses made easier,Simple to change money into different currencies and good exchange rates.,wendyworldwide,10.125,True
13962782044,app_store,gb,2026-04-15T22:03:48-07:00,5,Travelling around the world,I love Revolut in my everyday life. I earn unbelievable rev points! But the game changer is travelling abroad! Revolut gives you the best exchange rates and no charges. Absolutely love my Revolut ultimate card 😍,AmandaO1966,10.125,True
13961674703,app_store,gb,2026-04-15T13:36:29-07:00,5,Best bank,"Best choice I made, it’s amazing when on holiday. ONE BANK THAT DOES EVERYTHING all In one place, gives me options to change the points I’ve built up to use towards hotels vouchers for Amazon ect. When I go away I don’t have to worry about changing money as I just use my card from my normal account as I would in the uk and it exchanges as the transaction goes through. What more do you need from a card. 

The only down side is paying anything in.",Pebbles.OGG.,10.125,True
13961536215,app_store,gb,2026-04-15T12:42:19-07:00,5,Reno Review,"I really like the app, it’s easy to use and the crypto is great too",intcop,10.125,True
13961243711,app_store,gb,2026-04-15T10:55:22-07:00,5,Absolutely amazing,The best bank I have ever used. The features by far better than an ordinary bank on top of the unbeatable exchange rates!,Miki9999,10.125,True
13961084332,app_store,gb,2026-04-15T09:58:32-07:00,5,Kinda Revolutionary imho,"Been using Revolut for a few years now and honestly it’s changed the way I utilise my money, budgets and savings. I’ve tried Metal for a year or two (paid upfront annually) and now trying out Ultra, might be a bit overkill for my needs tbh but I’m on pay monthly so will see how it goes and if it doesn’t work out I’ll just go back to the Metal plan. Overall I’m impressed with the service, few teething issues when I first joined few years back regarding access to the investment platform of the app but I used other platforms for that anyway. Will try investing and crypto on Revolut eventually but for now I’m happy with my setup! I’d say it’s worth trying out to see if it fits your financial needs, go on, give it a go! ;P",Liam James David,10.125,True
13960479896,app_store,gb,2026-04-15T06:36:51-07:00,5,Best bank about.,"Trouble free, easy exchange and ideal for those who work abroad and have a lot of deposits and outgoings for work and leisure etc.",OGcelticda,10.125,True
13959889860,app_store,gb,2026-04-15T02:53:27-07:00,5,10/10 ⭐️,"I’m very much enjoying my banking experience with Revolut Bank! The app is smooth, easy to use, and packed with useful features. Everything from payments to currency exchange works seamlessly. Customer support has also been reliable whenever I’ve needed it. Overall, an excellent service — 10/10!",Juliz1,10.125,True
13959888454,app_store,gb,2026-04-15T02:52:48-07:00,5,Great account,Revolut is a great account for sole traders. I’m really impressed how easy everything is to manage.,TLK1357,10.125,True
13959809028,app_store,gb,2026-04-15T02:14:22-07:00,5,Easiest,One of the best money app I’ve used so far.  Easier to transact on crypto world.,AdeniyiVic,10.125,True
13958734951,app_store,gb,2026-04-14T17:18:02-07:00,5,Scam,"Revolut upgraded me to a Platinum/Gold plan and clearly offered two months of Premium completely free, with no charges mentioned. When I pressed “order card,” there was absolutely NO information shown about express delivery or any £17.99 fee.

After the free period ended, Revolut suddenly charged me £17.99. When I challenged this, they claimed it was for express delivery. This is outrageous and unacceptable, because at no point during the order process was I informed that I was choosing express delivery or that I would be charged £17.99 for it.

This is a hidden charge, and it feels like a deliberate scam. Taking money without clearly disclosing the cost upfront is misleading and dishonest. Customers should not be charged for something they never knowingly agreed to.",Masab1681,10.125,True
13958732431,app_store,gb,2026-04-14T17:16:54-07:00,5,Mr,Revolut just make my crypto accessible in seconds,@akinjofficial,10.125,True
